Hipmunk 5.2.0.10 patched for ghc-7.6 compat
HJavaScript 0.4.7
HJScript 0.6.1
hjsmin 0.1.4.1
hledger 0.20
hledger-interest 1.4.2
hledger-lib 0.20
hledger-web 0.20
hlint 1.8.43
hmatrix 0.14.1.0
hoauth 0.3.5
hoogle 4.2.16
hOpenPGP 0.7
hostname 1.0
hS3 0.5.7
hs-bibutils 4.12
hscolour 1.20.3
hscurses 1.4.1.2
hsemail 1.7.2
HSH 2.1.0
hslogger 1.2.1
hsmagick 0.5
hsp 0.8.0
hspec 1.4.4 notest
hspec-expectations 0.3.0.3 notest
hsql 1.8.2
hsql-mysql 1.8.2
hsql-odbc 1.8.2
hsql-postgresql 1.8.2
hsql-sqlite3 1.8.2
HsSyck 0.50
HStringTemplate 0.6.12
hsx 0.10.4
html 1.0.1.2
html-conduit 1.1.0
HTTP 4000.2.8 notest
http-conduit 1.9.0
http-date 0.0.2 notest
http-reverse-proxy 0.1.1.4
http-types 0.8.0
HUnit 1.2.5.2
hxt 9.3.1.1
hxt-cache 9.1.0
hxt-charproperties 9.1.1
hxt-curl 9.1.1
hxt-http 9.1.4
hxt-regex-xmlschema 9.0.4
hxt-relaxng 9.1.4
hxt-tagsoup 9.1.1
hxt-unicode 9.0.2
hxt-xpath 9.1.2
hxt-xslt 9.1.1
iconv 0.4.1.1
idna 0.2
ieee754 0.7.3
IfElse 0.85
io-choice 0.0.1
IOSpec 0.2.5
io-storage 0.3
irc 0.5.1.0
ircbot 0.5.3
iteratee 0.8.9.4
ixset 1.0.3
json 0.5
keys 3.0.2
knob 0.1.1
lambdabot 4.3
lambdabot-utils 4.2.2
language-c 0.4.2
language-haskell-extract 0.2.1
language-javascript 0.5.6
largeword 1.0.5
lazysmallcheck 0.6
LDAP 0.6.9
leksah 0.12.1.3
leksah-server 0.12.1.2
lens 3.9.0.2
lhs2tex 1.18.1
libtagc 0.12.0
libxml-sax 0.7.3
LibZip 0.10.2
lifted-base 0.2.0.3
ListLike 3.1.7.1
llvm 3.2.0.0
llvm-base 3.2.0.0
logict 0.5.0.2
lrucache 1.1.1.3
ltk 0.12.1.0
maccatcher 2.1.5
magic 1.0.8
markov-chain 0.0.3.2
math-functions 0.1.1.0
MaybeT 0.1.2
mbox 0.1
MemoTrie 0.6.1
mersenne-random 1.0.0.1
mersenne-random-pure64 0.2.0.3
midi 0.2.0.1
mighttpd2 2.5.9
mime-mail 0.4.1.2
mime-types 0.1.0.0
MissingH 1.2.0.0
mmap 0.5.8
mmorph 1.0.0
MonadCatchIO-mtl 0.3.0.5
MonadCatchIO-transformers 0.3.0.0
monad-control 0.3.1.4
monadcryptorandom 0.5
monad-logger 0.3.0.1
monad-loops 0.3.2.0
monad-par 0.1.0.3
MonadPrompt 1.0.0.3
MonadRandom 0.1.6
monads-tf 0.1.0.1
monoid-extras 0.2.2.2
monoid-transformer 0.0.2
mtl 2.1.2
mtlparse 0.1.2
mueval 0.9
murmur-hash 0.1.0.6
mwc-random 0.11.0.0 notest
nats 0.1
ncurses 0.2.1
netwire 4.0.7
network 2.4.1.2
network-conduit 1.0.0
network-info 0.2.0.3
network-multicast 0.0.7
network-protocol-xmpp 0.4.4
newtype 0.2
non-negative 0.1
numbers 3000.1.0.3
numeric-quest 0.2
NumInstances 1.0
numtype 1.0
ObjectName 1.0.0.0
oeis 0.3.1
ofx 0.2.0.0
OpenAL 1.4.0.2
OpenGL 2.8.0.0
OpenGLRaw 1.3.0.0
openpgp 0.4
openpgp-asciiarmor 0.1
options 0.1.1
optparse-applicative 0.5.2.1
pandoc 1.11.1
pandoc-types 1.10
pango 0.12.4
parallel 3.2.0.3
parseargs 0.1.3.2
parsec 3.1.3
pastis 0.1.2
path-pieces 0.1.2
patience 0.1.1
pcap 0.4.5.2
pcre-light 0.4
pem 0.1.2
persistent 1.1.5.1
persistent-postgresql 1.1.3.1
persistent-sqlite 1.1.5
persistent-template 1.1.2.4
pointedlist 0.4.0.4
polyparse 1.7
pool-conduit 0.1.1
postgresql-libpq 0.8.2.1
postgresql-simple 0.2.4.1
pretty-show 1.2
primes 0.2.1.0
primitive 0.5.0.1
process-conduit 1.0.0.0
process-extras 0.2.0
profunctor-extras 3.3
profunctors 3.3
project-template 0.1.3
PSQueue 1.1
publicsuffixlist 0.1
punycode 2.0 notest
pureMD5 2.1.2.1
pwstore-fast 2.3
QuickCheck 2.6
quickcheck-instances 0.3.2
random 1.0.1.1
random-shuffle 0.0.4
Ranged-sets 0.3.0
ranges 0.2.4
reactive-banana 0.7.1.2
ReadArgs 1.2.1
readline 1.0.3.0
recaptcha 0.1
reflection 1.2.0.1
reform 0.1.2
reform-blaze 0.1.2
reform-happstack 0.1.2
regex-base 0.93.2
regex-compat 0.95.1
regex-pcre 0.94.4
regex-posix 0.95.2
regexpr 0.5.4
regex-tdfa 1.1.8
regex-tdfa-utf8 1.0
repa 3.2.3.3
representable-functors 3.0.1
representable-tries 3.0.2
resource-pool 0.2.1.1
resourcet 0.4.7.1
rosezipper 0.2
RSA 1.2.2.0
rss2irc 1.0.3
safe 0.3.3
safecopy 0.7.1
SafeSemaphore 0.9.0
SDL 0.6.4
SDL-gfx 0.6.0
SDL-image 0.6.1
SDL-mixer 0.6.1
SDL-ttf 0.6.2
semigroupoid-extras 3.0.1
semigroupoids 3.0.2
semigroups 0.9
sendfile 0.7.9
setenv 0.1.0 notest
sfml-audio 0.7.0.1816
SHA 1.5.0.1
shakespeare 1.0.2
shakespeare-css 1.0.2
shakespeare-i18n 1.0.0.2
shakespeare-js 1.1.0
shakespeare-text 1.0.0.5
Shellac 0.9.5.1
shelltestrunner 1.3.1
show 0.6
silently 1.2.4 notest
SimpleEA 0.2.1
simpleirc 0.2.1
simple-reflect 0.3.1
simple-sendfile 0.2.11
skein 1.0.3
smallcheck 0.6
SMTPClient 1.0.4
snap-core 0.9.3.1
snap-server 0.9.3.1
socks 0.4.1
split 0.2.2
StateVar 1.0.0.0
static-hash 0.0.1
statistics 0.10.2.0
stm 2.4.2
storable-complex 0.2.1
Stream 0.4.6
strict 0.3.2
strict-concurrency 0.2.4.1
stringprep 0.1.5
stringsearch 0.3.6.4
strptime 1.0.6
svgcairo 0.12.1
syb 0.4.0
syb-with-class 0.6.1.4
syb-with-class-instances-text 0.0.1
system-fileio 0.3.10
system-filepath 0.4.7
tagged 0.6
tagsoup 0.12.8
tagstream-conduit 0.5.4
tar 0.4.0.1
template 0.2.0.8
temporary 1.1.2.4
Tensor 1.0.0.1
terminal-progress-bar 0.0.1.3
terminfo 0.3.2.5
test-framework 0.8 notest
test-framework-hunit 0.3.0
test-framework-quickcheck2 0.3.0.1
test-framework-th 0.2.2
test-framework-th-prime 0.0.5
texmath 0.6.1.3
text 0.11.3.1
text-icu 0.6.3.5
th-extras 0.0.0.2
threads 0.5.0.2 notest
threadscope 0.2.2
time-compat 0.1.0.1
TinyURL 0.1.0
tls 1.1.2
tls-extra 0.6.3
tokyocabinet-haskell 0.0.5
transformers 0.3.0.0
transformers-base 0.4.1
type-level 0.2.4
uniplate 1.6.7
unix-bytestring 0.3.5.4
unix-compat 0.4.0.0
unix-time 0.1.2
Unixutils 1.50
unlambda 0.1.3
unordered-containers 0.2.3.0
uri 0.1.6
url 2.1.2
utf8-light 0.4.0.1
utf8-string 0.3.7
utility-ht 0.0.5.1
uuagc 0.9.42.2
uuagc-cabal 1.0.4.0
uuid 1.2.3 notest
uulib 0.9.15
vault 0.2.0.1
vector 0.10.0.1
vector-algorithms 0.5.4.2
vector-space 0.8.6
vector-space-points 0.1.2.0
void 0.5.11
vte 0.12.1
vty 4.7.0.20 notest
wai 1.4.0
wai-app-file-cgi 0.8.3
